date_1,day,month,year,temp2_c,temp2_max_c,temp2_min_c,temp2_ave_c,surface_pressure_pa,wind_speed50_max_m_s,wind_speed50_min_m_s,wind_speed50_ave_m_s,prectotcorr,total_demand_mw,date_2,max_generation_mw
01-01-18,1.000000011,1.000000008,-8.9287030806618e-34,188405704487.0782,5620.705319717146,839645.4386096497,58399045670.53858,11134028609306978e4,3.1067332483971595,0.6434552615560823,1.3380772243335533,0.0039810717055349205,36.41128406053993,01-01-18,-0.16720773332679223
02-01-18,2.1435469368620965,1.000000008,-8.9287030806618e-34,125031240836.09422,4839.428738304535,1436949.294598664,60747501705.03454,10980775293807018e4,3.586527648364826,1.149262240786969,1.5036689745093954,0.2511887185075238,36.22854033993456,02-01-18,-0.16664095840276585
03-01-18,3.3483695343790734,1.000000008,-8.9287030806618e-34,34941503835.99887,4557.053819110245,330790.39694079256,22592581648.113163,11178167416842689e4,3.8888972457116973,1.473433078278208,1.6492358290659923,0.5876715738917992,36.22854033993456,03-01-18,-0.1669640336449378
04-01-18,4.594793432623831,1.000000008,-8.9287030806618e-34,10602129811.964228,3399.3352699324237,56114.654321258706,4935426224.368677,11423758144831316e4,3.468256725631171,1.1382986403318316,1.483671941095047,0.7235085686946043,36.41128406053993,04-01-18,-0.16692939290259068
05-01-18,5.8730947283609165,1.000000008,-8.9287030806618e-34,11227236218.530106,3615.822657033842,57919.05982947044,5744644259.6071825,11233562356254977e4,3.513318676588157,1.4027734718437648,1.5759648058489069,0.0039810717055349205,34.90864554918079,05-01-18,-0.17057033505722285
06-01-18,7.177387206266454,1.000000008,-8.9287030806618e-34,8343979875.138629,3753.6228847900898,43540.35211353877,5500021987.590066,11156078366726963e4,3.38982455036339,1.2616471783907823,1.5094339108347914,0.0039810717055349205,36.41128406053993,06-01-18,-0.16736113517511259
07-01-18,8.503698321636447,1.000000008,-8.9287030806618e-34,6137252126.166583,3186.8564669883017,33581.51696740677,3386610041.0071144,113338962011066e6,2.9102512392489195,1.1787286286564342,1.4129022434567984,0.0039810717055349205,36.22854033993456,07-01-18,-0.16699437970903716
08-01-18,9.849155320301948,1.000000008,-8.9287030806618e-34,7023387458.767699,2970.4757171399697,68910.57844167811,4053962386.70935,11582560728372973e4,2.803112597581652,0.9023551606592143,1.3218841329239166,0.0039810717055349205,36.22854033993456,08-01-18,-0.16627506632870936
09-01-18,11.211578470242733,1.000000008,-8.9287030806618e-34,5539208796.665752,3028.9218609759155,26313.15616270874,2713251505.6167927,11708724938510754e4,2.4466177087244727,1.1382986403318316,1.3265579032019728,0.0039810717055349205,36.22854033993456,09-01-18,-0.16616118207908695
10-01-18,12.589254131789893,1.000000008,-8.9287030806618e-34,5654504826.149857,3105.1236449829403,15947.66347656375,2335241341.63753,11731796310314749e4,3.0331499146843335,1.1132707847493932,1.4115615159747714,0.0039810717055349205,36.41128406053993,10-01-18,-0.1667568333989383
11-01-18,13.980797781292393,1.000000008,-8.9287030806618e-34,5577407094.095902,2896.3810810296345,44418.22151241093,3105277238.3894825,11639755619905012e4,2.5083033531961965,1.0917707140174202,1.3211014123959368,0.0039810717055349205,36.22854033993456,11-01-18,-0.16583895099696364
12-01-18,15.385066261944818,1.000000008,-8.9287030806618e-34,10268351587.647396,3394.820325859147,86462.54945413879,6050804448.263345,11525618898691079e4,2.432288012710451,1.0917707140174202,1.3084279894736182,0.0039810717055349205,35.48334103814679,12-01-18,-0.17011107049818075
13-01-18,16.801098884367192,1.000000008,-8.9287030806618e-34,20717460789.77852,3710.509815116649,161813.70758789644,10053446095.761042,11457621342918196e4,2.3697682957593833,0.48559339101664817,1.184823886339702,0.0039810717055349205,36.22854033993456,13-01-18,-0.1663851767539291
14-01-18,18.228076374766676,1.000000008,-8.9287030806618e-34,20595176846.64835,3787.3723493425277,154411.63521022344,10245550696.015291,11514260812488876e4,3.4394499453303378,1.2237052466174778,1.504247791148268,0.0039810717055349205,36.592662284026225,14-01-18,-0.16731283216055928
15-01-18,19.66529136001754,1.000000008,-8.9287030806618e-34,22498320243.872723,4023.950253100906,107460.6538607141,9731497632.27287,11412490445244224e4,3.1923574453876054,1.19876851421317,1.461170780751984,0.0039810717055349205,36.22854033993456,15-01-18,-0.1658472733210381
16-01-18,21.11212658688098,1.000000008,-8.9287030806618e-34,29343692506.297115,4238.412324511172,176576.8890331354,13935696785.244993,11356301840227716e4,3.183839619623466,1.2685794815741727,1.4830742084125559,0.0039810717055349205,36.41128406053993,16-01-18,-0.16663239426671472
17-01-18,22.568038487707767,1.000000008,-8.9287030806618e-34,30880506700.326355,4694.137457731721,159315.19708426832,16477914683.49037,11356301840227716e4,3.427072508948705,1.1868394691573063,1.4913918426493862,0.0039810717055349205,36.22854033993456,17-01-18,-0.1654711235486592
18-01-18,24.03254454041229,1.000000008,-8.9287030806618e-34,42151431874.8018,5262.396954688049,198263.42083874182,23496760345.025394,113338962011066e6,3.29802454282524,1.1338434021539625,1.4574448679796759,0.0039810717055349205,36.592662284026225,18-01-18,-0.16623283237194378
19-01-18,25.505213383046275,1.000000008,-8.9287030806618e-34,30706298260.439198,4677.552223297427,130273.68420759191,14830926099.969885,11446323585759707e4,2.74888201803191,1.1948229975894997,1.3938550539771115,0.0039810717055349205,35.48334103814679,19-01-18,-0.16891074696536976
20-01-18,26.985656968313492,1.000000008,-8.9287030806618e-34,36734738942.312935,4470.658844816716,164343.77142887338,15062496773.422136,113338962011066e6,2.46091152522247,1.0614705521920316,1.3036007760450161,0.0039810717055349205,36.41128406053993,20-01-18,-0.16706386662780312
21-01-18,28.47352425548561,1.000000008,-8.9287030806618e-34,42151431874.8018,4677.552223297427,320470.850312246,23439329469.535423,11311530354919743e4,3.1282332214281126,0.8122524012297495,1.361906867579201,0.0039810717055349205,36.592662284026225,21-01-18,-0.16638942051593514
22-01-18,29.968496079166727,1.000000008,-8.9287030806618e-34,32124694700.941265,4918.820646234017,114885.40011701608,15615257886.033937,11189226696104115e4,2.9499930346497725,1.0692346025573511,1.3862033218281442,0.0039810717055349205,36.592662284026225,22-01-18,-0.16652130020795083
23-01-18,31.47028093155266,1.000000008,-8.9287030806618e-34,46982634013.712425,4987.519486263349,200246.4205536208,21031614488.351303,1107907571371052e5,2.7805716456761815,1.1338434021539625,1.3784517471249988,0.0039810717055349205,36.772701884891205,23-01-18,-0.16622017472827522
24-01-18,32.97861146271464,1.000000008,-8.9287030806618e-34,79694317205.06264,5033.652477518096,369860.2072675719,29481793484.357475,10937338738865046e4,2.1827796114306324,0.87468966325473,1.2017078879109597,0.0039810717055349205,36.592662284026225,24-01-18,-0.1658347907744213
25-01-18,34.493241551707555,1.000000008,-8.9287030806618e-34,98877633321.93517,5814.958541893362,465057.4236173206,44988906605.07942,10969901625040426e4,2.954394602417632,1.2599001450942053,1.4473988938656457,0.0039810717055349205,36.592662284026225,25-01-18,-0.16497475412258772
26-01-18,36.01394383618912,1.000000008,-8.9287030806618e-34,57531400778.64664,5074.238467092788,219896.32056459642,22871786178.38967,11101027511071025e4,3.136815485501356,1.1179191651116163,1.4287643738221278,0.0039810717055349205,35.858844428693686,26-01-18,-0.16885506362138983
27-01-18,37.54050761382401,1.000000008,-8.9287030806618e-34,37144139167.75764,4202.181034704128,252865.78910765244,16520020487.373367,11211374801966657e4,2.5130213778658663,1.0588528555470396,1.311623189841494,0.0039810717055349205,36.41128406053993,27-01-18,-0.16551220887304116
28-01-18,39.0727370477694,1.000000008,-8.9287030806618e-34,32488241964.079624,4044.073694830958,182963.39000616912,12850004615.525631,11412490445244224e4,2.4988558713181512,0.7708587212205514,1.2421103103779685,0.0039810717055349205,36.951428888567015,28-01-18,-0.16513245859741515
29-01-18,40.61044962285464,1.000000008,-8.9287030806618e-34,34553709535.68071,4155.885338199273,249280.72847092283,16020952242.819973,1149157485618858e5,2.408324381330186,0.7235085686946043,1.2171082908915212,0.0039810717055349205,36.951428888567015,29-01-18,-0.16470192782106652
30-01-18,42.153474809965864,1.000000008,-8.9287030806618e-34,49843732954.59598,4470.658844816716,198263.42083874182,16562221046.237402,113338962011066e6,2.451386281619025,0.8663981353802563,1.2510790083782868,0.0039810717055349205,37.04030807631278,30-01-18,-0.16478188995503648
31-01-18,43.70165290452901,1.000000008,-8.9287030806618e-34,41239861037.29861,4941.653613156296,140427.3607615566,17338245855.87485,11211374801966657e4,3.0851693179192905,1.1338434021539625,1.425493628261941,0.0039810717055349205,37.04030807631278,31-01-18,-0.16496266038131888
01-02-18,1.000000011,1.7411011335566535,-8.9287030806618e-34,96454688014.5321,5376.163938823938,293764.71673769667,29976920622.106102,1116711797631067e5,3.2051159569330943,0.849236008281052,1.3805758958253873,0.0039810717055349205,37.04030807631278,01-02-18,-0.16505955955847973
02-02-18,2.1435469368620965,1.7411011335566535,-8.9287030806618e-34,213163676410.0743,5589.762570821589,875087.9013048336,59172816565.41998,11200295821881478e4,1.8510234940869137,0.7921863453357306,1.1144371250385834,0.0039810717055349205,35.48334103814679,02-02-18,-0.16896188696749456
03-02-18,3.3483695343790734,1.7411011335566535,-8.9287030806618e-34,233319830181.2127,6130.53093732736,743077.8452822975,64846839738.488594,11322708307825487e4,2.2869271004562965,0.8946532194707755,1.226507280903994,0.0039810717055349205,36.41128406053993,03-02-18,-0.165274761801436
04-02-18,4.594793432623831,1.7411011335566535,-8.9287030806618e-34,299035882807.17126,7119.646415405879,658284.9352020356,82561280064.24307,11278056059967796e4,3.13252561309342,0.8828017443761307,1.3741803867509692,0.0039810717055349205,37.04030807631278,04-02-18,-0.1651527426489543
05-02-18,5.8730947283609165,1.7411011335566535,-8.9287030806618e-34,372646026368.2867,7199.06038919707,1191754.816609102,117246596339.03119,11582560728372973e4,3.2474882884322427,0.8705669324078422,1.3910839611422334,0.0039810717055349205,37.04030807631278,05-02-18,-0.16471790162810473
